energy;conductance
-0.1;0.514
-0.0998;0.514
-0.0996;0.515
-0.0994;0.515
-0.0992;0.516
-0.099;0.516
-0.0988;0.517
-0.0986;0.517
-0.0984;0.518
-0.0982;0.518
-0.098;0.519
-0.0978;0.519
-0.0976;0.52
-0.0974;0.52
-0.0972;0.521
-0.097;0.521
-0.0968;0.522
-0.0966;0.522
-0.0964;0.522
-0.0962;0.523
-0.096;0.523
-0.0958;0.524
-0.0956;0.524
-0.0954;0.525
-0.0952;0.525
-0.095;0.526
-0.0948;0.526
-0.0946;0.527
-0.0944;0.527
-0.0942;0.528
-0.094;0.528
-0.0938;0.529
-0.0936;0.529
-0.0934;0.529
-0.0932;0.53
-0.093;0.53
-0.0928;0.531
-0.0926;0.531
-0.0924;0.532
-0.0922;0.532
-0.092;0.533
-0.0918;0.533
-0.0916;0.534
-0.0914;0.534
-0.0912;0.534
-0.091;0.535
-0.0908;0.535
-0.0906;0.536
-0.0904;0.536
-0.0902;0.537
-0.09;0.537
-0.0898;0.538
-0.0896;0.538
-0.0894;0.539
-0.0892;0.539
-0.089;0.539
-0.0888;0.54
-0.0886;0.54
-0.0884;0.541
-0.0882;0.541
-0.088;0.542
-0.0878;0.542
-0.0876;0.543
-0.0874;0.543
-0.0872;0.543
-0.087;0.544
-0.0868;0.544
-0.0866;0.545
-0.0864;0.545
-0.0862;0.546
-0.086;0.546
-0.0858;0.547
-0.0856;0.547
-0.0854;0.547
-0.0852;0.548
-0.085;0.548
-0.0848;0.549
-0.0846;0.549
-0.0844;0.55
-0.0842;0.55
-0.084;0.551
-0.0838;0.551
-0.0836;0.551
-0.0834;0.552
-0.0832;0.552
-0.083;0.553
-0.0828;0.553
-0.0826;0.554
-0.0824;0.554
-0.0822;0.555
-0.082;0.555
-0.0818;0.555
-0.0816;0.556
-0.0814;0.556
-0.0812;0.557
-0.081;0.557
-0.0808;0.558
-0.0806;0.558
-0.0804;0.559
-0.0802;0.559
-0.08;0.559
-0.0798;0.56
-0.0796;0.56
-0.0794;0.561
-0.0792;0.561
-0.079;0.562
-0.0788;0.562
-0.0786;0.563
-0.0784;0.563
-0.0782;0.563
-0.078;0.564
-0.0778;0.564
-0.0776;0.565
-0.0774;0.565
-0.0772;0.566
-0.077;0.566
-0.0768;0.567
-0.0766;0.567
-0.0764;0.567
-0.0762;0.568
-0.076;0.568
-0.0758;0.569
-0.0756;0.569
-0.0754;0.57
-0.0752;0.57
-0.075;0.571
-0.0748;0.571
-0.0746;0.572
-0.0744;0.572
-0.0742;0.573
-0.074;0.573
-0.0738;0.573
-0.0736;0.574
-0.0734;0.574
-0.0732;0.575
-0.073;0.575
-0.0728;0.576
-0.0726;0.576
-0.0724;0.577
-0.0722;0.577
-0.072;0.578
-0.0718;0.578
-0.0716;0.579
-0.0714;0.579
-0.0712;0.579
-0.071;0.58
-0.0708;0.58
-0.0706;0.581
-0.0704;0.581
-0.0702;0.582
-0.07;0.582
-0.0698;0.583
-0.0696;0.583
-0.0694;0.584
-0.0692;0.584
-0.069;0.585
-0.0688;0.585
-0.0686;0.586
-0.0684;0.586
-0.0682;0.587
-0.068;0.587
-0.0678;0.588
-0.0676;0.588
-0.0674;0.589
-0.0672;0.589
-0.067;0.59
-0.0668;0.59
-0.0666;0.591
-0.0664;0.591
-0.0662;0.592
-0.066;0.592
-0.0658;0.593
-0.0656;0.593
-0.0654;0.594
-0.0652;0.594
-0.065;0.595
-0.0648;0.595
-0.0646;0.596
-0.0644;0.596
-0.0642;0.597
-0.064;0.598
-0.0638;0.598
-0.0636;0.599
-0.0634;0.599
-0.0632;0.6
-0.063;0.6
-0.0628;0.601
-0.0626;0.601
-0.0624;0.602
-0.0622;0.603
-0.062;0.603
-0.0618;0.604
-0.0616;0.604
-0.0614;0.605
-0.0612;0.605
-0.061;0.606
-0.0608;0.607
-0.0606;0.607
-0.0604;0.608
-0.0602;0.608
-0.06;0.609
-0.0598;0.609
-0.0596;0.61
-0.0594;0.611
-0.0592;0.611
-0.059;0.612
-0.0588;0.613
-0.0586;0.613
-0.0584;0.614
-0.0582;0.614
-0.058;0.615
-0.0578;0.616
-0.0576;0.616
-0.0574;0.617
-0.0572;0.618
-0.057;0.618
-0.0568;0.619
-0.0566;0.62
-0.0564;0.62
-0.0562;0.621
-0.056;0.622
-0.0558;0.622
-0.0556;0.623
-0.0554;0.624
-0.0552;0.625
-0.055;0.625
-0.0548;0.626
-0.0546;0.627
-0.0544;0.627
-0.0542;0.628
-0.054;0.629
-0.0538;0.63
-0.0536;0.63
-0.0534;0.631
-0.0532;0.632
-0.053;0.633
-0.0528;0.634
-0.0526;0.634
-0.0524;0.635
-0.0522;0.636
-0.052;0.637
-0.0518;0.638
-0.0516;0.638
-0.0514;0.639
-0.0512;0.64
-0.051;0.641
-0.0508;0.642
-0.0506;0.643
-0.0504;0.644
-0.0502;0.645
-0.05;0.646
-0.0498;0.646
-0.0496;0.647
-0.0494;0.648
-0.0492;0.649
-0.049;0.65
-0.0488;0.651
-0.0486;0.652
-0.0484;0.653
-0.0482;0.654
-0.048;0.655
-0.0478;0.656
-0.0476;0.657
-0.0474;0.658
-0.0472;0.66
-0.047;0.661
-0.0468;0.662
-0.0466;0.663
-0.0464;0.664
-0.0462;0.665
-0.046;0.666
-0.0458;0.667
-0.0456;0.669
-0.0454;0.67
-0.0452;0.671
-0.045;0.672
-0.0448;0.674
-0.0446;0.675
-0.0444;0.676
-0.0442;0.678
-0.044;0.679
-0.0438;0.68
-0.0436;0.682
-0.0434;0.683
-0.0432;0.685
-0.043;0.686
-0.0428;0.687
-0.0426;0.689
-0.0424;0.69
-0.0422;0.692
-0.042;0.694
-0.0418;0.695
-0.0416;0.697
-0.0414;0.698
-0.0412;0.7
-0.041;0.702
-0.0408;0.704
-0.0406;0.705
-0.0404;0.707
-0.0402;0.709
-0.04;0.711
-0.0398;0.713
-0.0396;0.715
-0.0394;0.717
-0.0392;0.719
-0.039;0.721
-0.0388;0.723
-0.0386;0.725
-0.0384;0.727
-0.0382;0.729
-0.038;0.732
-0.0378;0.734
-0.0376;0.736
-0.0374;0.739
-0.0372;0.741
-0.037;0.743
-0.0368;0.746
-0.0366;0.749
-0.0364;0.751
-0.0362;0.754
-0.036;0.757
-0.0358;0.759
-0.0356;0.762
-0.0354;0.765
-0.0352;0.768
-0.035;0.771
-0.0348;0.774
-0.0346;0.778
-0.0344;0.781
-0.0342;0.784
-0.034;0.788
-0.0338;0.791
-0.0336;0.795
-0.0334;0.798
-0.0332;0.802
-0.033;0.806
-0.0328;0.81
-0.0326;0.814
-0.0324;0.818
-0.0322;0.822
-0.032;0.826
