energy;conductance_lead;conductance_junction
-0.1;1.0;0.108
-0.0998;1.0;0.103
-0.0996;1.0;0.099
-0.0994;1.0;0.094
-0.0992;1.0;0.089
-0.099;1.0;0.085
-0.0988;1.0;0.081
-0.0986;1.0;0.076
-0.0984;1.0;0.072
-0.0982;1.0;0.068
-0.098;1.0;0.065
-0.0978;1.0;0.061
-0.0976;1.0;0.057
-0.0974;1.0;0.054
-0.0972;1.0;0.05
-0.097;1.0;0.047
-0.0968;1.0;0.044
-0.0966;1.0;0.041
-0.0964;1.0;0.038
-0.0962;1.0;0.035
-0.096;1.0;0.032
-0.0958;1.0;0.03
-0.0956;1.0;0.027
-0.0954;1.0;0.025
-0.0952;1.0;0.023
-0.095;1.0;0.021
-0.0948;1.0;0.019
-0.0946;1.0;0.017
-0.0944;1.0;0.015
-0.0942;1.0;0.013
-0.094;1.0;0.012
-0.0938;1.0;0.01
-0.0936;1.0;0.009
-0.0934;1.0;0.008
-0.0932;1.0;0.006
-0.093;1.0;0.005
-0.0928;1.0;0.004
-0.0926;1.0;0.004
-0.0924;1.0;0.003
-0.0922;1.0;0.002
-0.092;1.0;0.002
-0.0918;1.0;0.001
-0.0916;1.0;0.001
-0.0914;1.0;0.0
-0.0912;1.0;0.0
-0.091;1.0;0.0
-0.0908;1.0;0.0
-0.0906;1.0;0.0
-0.0904;1.0;0.0
-0.0902;1.0;0.0
-0.09;1.0;0.001
-0.0898;1.0;0.001
-0.0896;1.0;0.001
-0.0894;1.0;0.002
-0.0892;1.0;0.002
-0.089;1.0;0.003
-0.0888;1.0;0.004
-0.0886;1.0;0.005
-0.0884;1.0;0.005
-0.0882;1.0;0.006
-0.088;1.0;0.007
-0.0878;1.0;0.008
-0.0876;1.0;0.009
-0.0874;1.0;0.011
-0.0872;1.0;0.012
-0.087;1.0;0.013
-0.0868;1.0;0.014
-0.0866;1.0;0.016
-0.0864;1.0;0.017
-0.0862;1.0;0.018
-0.086;1.0;0.02
-0.0858;1.0;0.021
-0.0856;1.0;0.023
-0.0854;1.0;0.025
-0.0852;1.0;0.026
-0.085;1.0;0.028
-0.0848;1.0;0.03
-0.0846;1.0;0.032
-0.0844;1.0;0.033
-0.0842;1.0;0.035
-0.084;1.0;0.037
-0.0838;1.0;0.039
-0.0836;1.0;0.041
-0.0834;1.0;0.043
-0.0832;1.0;0.045
-0.083;1.0;0.047
-0.0828;1.0;0.049
-0.0826;1.0;0.051
-0.0824;1.0;0.053
-0.0822;1.0;0.055
-0.082;1.0;0.057
-0.0818;1.0;0.059
-0.0816;1.0;0.062
-0.0814;1.0;0.064
-0.0812;1.0;0.066
-0.081;1.0;0.068
-0.0808;1.0;0.071
-0.0806;1.0;0.073
-0.0804;1.0;0.075
-0.0802;1.0;0.077
-0.08;1.0;0.08
-0.0798;1.0;0.082
-0.0796;1.0;0.084
-0.0794;1.0;0.087
-0.0792;1.0;0.089
-0.079;1.0;0.091
-0.0788;1.0;0.094
-0.0786;1.0;0.096
-0.0784;1.0;0.098
-0.0782;1.0;0.101
-0.078;1.0;0.103
-0.0778;1.0;0.106
-0.0776;1.0;0.108
-0.0774;1.0;0.11
-0.0772;1.0;0.113
-0.077;1.0;0.115
-0.0768;1.0;0.117
-0.0766;1.0;0.12
-0.0764;1.0;0.122
-0.0762;1.0;0.125
-0.076;1.0;0.127
-0.0758;1.0;0.129
-0.0756;1.0;0.132
-0.0754;1.0;0.134
-0.0752;1.0;0.137
-0.075;1.0;0.139
-0.0748;1.0;0.141
-0.0746;1.0;0.144
-0.0744;1.0;0.146
-0.0742;1.0;0.149
-0.074;1.0;0.151
-0.0738;1.0;0.153
-0.0736;1.0;0.156
-0.0734;1.0;0.158
-0.0732;1.0;0.16
-0.073;1.0;0.163
-0.0728;1.0;0.165
-0.0726;1.0;0.167
-0.0724;1.0;0.17
-0.0722;1.0;0.172
-0.072;1.0;0.174
-0.0718;1.0;0.177
-0.0716;1.0;0.179
-0.0714;1.0;0.181
-0.0712;1.0;0.184
-0.071;1.0;0.186
-0.0708;1.0;0.188
-0.0706;1.0;0.191
-0.0704;1.0;0.193
-0.0702;1.0;0.195
-0.07;1.0;0.197
-0.0698;1.0;0.2
-0.0696;1.0;0.202
-0.0694;1.0;0.204
-0.0692;1.0;0.206
-0.069;1.0;0.208
-0.0688;1.0;0.211
-0.0686;1.0;0.213
-0.0684;1.0;0.215
-0.0682;1.0;0.217
-0.068;1.0;0.219
-0.0678;1.0;0.221
-0.0676;1.0;0.224
-0.0674;1.0;0.226
-0.0672;1.0;0.228
-0.067;1.0;0.23
-0.0668;1.0;0.232
-0.0666;1.0;0.234
-0.0664;1.0;0.236
-0.0662;1.0;0.238
-0.066;1.0;0.24
-0.0658;1.0;0.242
-0.0656;1.0;0.244
-0.0654;1.0;0.246
-0.0652;1.0;0.248
-0.065;1.0;0.25
-0.0648;1.0;0.252
-0.0646;1.0;0.254
-0.0644;1.0;0.256
-0.0642;1.0;0.258
-0.064;1.0;0.26
-0.0638;1.0;0.262
-0.0636;1.0;0.264
-0.0634;1.0;0.266
-0.0632;1.0;0.268
-0.063;1.0;0.27
-0.0628;1.0;0.272
-0.0626;1.0;0.274
-0.0624;1.0;0.275
-0.0622;1.0;0.277
-0.062;1.0;0.279
-0.0618;1.0;0.281
-0.0616;1.0;0.283
-0.0614;1.0;0.285
-0.0612;1.0;0.286
-0.061;1.0;0.288
-0.0608;1.0;0.29
-0.0606;1.0;0.292
-0.0604;1.0;0.294
-0.0602;1.0;0.295
-0.06;1.0;0.297
-0.0598;1.0;0.299
-0.0596;1.0;0.301
-0.0594;1.0;0.302
-0.0592;1.0;0.304
-0.059;1.0;0.306
-0.0588;1.0;0.307
-0.0586;1.0;0.309
-0.0584;1.0;0.311
-0.0582;1.0;0.312
-0.058;1.0;0.314
-0.0578;1.0;0.316
-0.0576;1.0;0.317
-0.0574;1.0;0.319
-0.0572;1.0;0.321
-0.057;1.0;0.322
-0.0568;1.0;0.324
-0.0566;1.0;0.325
-0.0564;1.0;0.327
-0.0562;1.0;0.329
-0.056;1.0;0.33
-0.0558;1.0;0.332
-0.0556;1.0;0.333
-0.0554;1.0;0.335
-0.0552;1.0;0.336
-0.055;1.0;0.338
-0.0548;1.0;0.339
-0.0546;1.0;0.341
-0.0544;1.0;0.342
-0.0542;1.0;0.344
-0.054;1.0;0.345
-0.0538;1.0;0.347
-0.0536;1.0;0.348
-0.0534;1.0;0.35
-0.0532;1.0;0.351
-0.053;1.0;0.352
