edge_index;vertex_1_index;vertex_2_index;current
0;0;2442;-0.00020393026740879667
1;0;2443;0.00020393026740879667
2;1;2443;-0.0006780482569836033
3;1;2444;0.0006780482569836031
4;2;2444;-0.0013504043905379127
5;2;2445;0.001350404390537914
6;3;2445;-0.0018834226832476538
7;3;2446;0.0018834226832476848
8;4;2446;-0.0018511511414174247
9;4;2447;0.0018511511414174252
10;5;2447;-0.0011044488850238993
11;5;2448;0.0011044488850238993
12;6;2449;-0.00020393026740879753
13;6;2450;0.00020393026740879753
14;7;2442;0.00020393026740879667
15;7;2450;-0.0009585194406236453
16;7;2451;0.0007545891732148487
17;8;2443;0.0004741179895748066
18;8;2451;-0.0017543462591669565
19;8;2452;0.0012802282695921494
20;9;2444;0.0006723561335543097
21;9;2452;-0.001815517125139774
22;9;2453;0.0011431609915854637
23;10;2445;0.0005330182927097398
24;10;2453;-0.0009062544232416648
25;10;2454;0.00037323613053192505
26;11;2446;-3.2271541830259957e-05
27;11;2454;2.2597546020028217e-05
28;11;2455;9.67399581023175e-06
29;12;2447;-0.0007467022563935259
30;12;2455;-0.00022383791074612598
31;12;2456;0.0009705401671396519
32;13;2448;-0.001104448885023899
33;13;2456;-0.0014355280117211535
34;13;2457;0.0025399768967450526
35;14;2457;-0.0018121357535154374
36;14;2458;0.0018121357535154374
37;15;2449;0.00020393026740879753
38;15;2459;-0.000678048256983607
39;15;2460;0.0004741179895748095
40;16;2450;0.0007545891732148478
41;16;2460;-0.0017543462591669576
42;16;2461;0.0009997570859521098
43;17;2451;0.0009997570859521072
44;17;2461;-0.0016825530576790918
45;17;2462;0.0006827959717269841
46;18;2452;0.0005352888555476241
47;18;2462;-0.0005009709733171092
48;18;2463;-3.431788223051502e-05
49;19;2453;-0.00023690656834379867
50;19;2463;-2.4121390144030982e-05
51;19;2464;0.0002610279584878297
52;20;2454;-0.0003958336765519534
53;20;2464;-0.001058983335535511
54;20;2465;0.0014548170120874645
55;21;2455;0.0002141639149358942
56;21;2465;-0.0018386425758924213
57;21;2466;0.0016244786609565269
58;22;2456;0.00046498784458150124
59;22;2466;-0.0008134473398087878
60;22;2467;0.00034845949522728704
61;23;2457;-0.0007278411432296151
62;23;2467;0.00030826854305171324
63;23;2468;0.0004195726001779019
64;24;2458;-0.0018121357535154374
65;24;2468;-0.0010446270000677217
66;24;2469;0.002856762753583159
67;25;2469;-0.002346291935423194
68;25;2470;0.002346291935423194
69;26;2459;0.0006780482569836072
70;26;2471;-0.001350404390537922
71;26;2472;0.0006723561335543149
72;27;2460;0.001280228269592148
73;27;2472;-0.0018155171251397744
74;27;2473;0.000535288855547626
75;28;2461;0.0006827959717269819
76;28;2473;-0.0005009709733171089
77;28;2474;-0.00018182499840987303
78;29;2462;-0.00018182499840987493
79;29;2474;-0.00011931472718208715
80;29;2475;0.000301139725591962
81;30;2463;5.8439272374546e-05
82;30;2475;-0.0014128997278183134
83;30;2476;0.0013544604554437674
84;31;2464;0.0007979553770476812
85;31;2476;-0.0017090526498161878
86;31;2477;0.0009110972727685068
87;32;2465;0.0003838255638049571
88;32;2477;-0.00031900742585710875
89;32;2478;-6.481813794784839e-05
90;33;2466;-0.0008110313211477389
91;33;2478;-0.0001550185186127048
92;33;2479;0.0009660498397604438
93;34;2467;-0.0006567280382790003
94;34;2479;-0.0018261002030250063
95;34;2480;0.0024828282413040066
96;35;2468;0.0006250543998898197
97;35;2480;-0.0017362050916869608
98;35;2481;0.001111150691797141
99;36;2469;-0.0005104708181599652
100;36;2481;0.00033182808154691304
101;36;2482;0.0001786427366130522
102;37;2470;-0.002346291935423194
103;37;2482;-0.0008211008295204577
104;37;2483;0.0031673927649436516
105;38;2483;-0.002860884812531508
106;38;2484;0.0028608848125315075
107;39;2471;0.001350404390537926
108;39;2485;-0.0018834226832476718
109;39;2486;0.0005330182927097459
110;40;2472;0.0011431609915854594
111;40;2486;-0.0009062544232416626
112;40;2487;-0.00023690656834379667
113;41;2473;-3.431788223051719e-05
114;41;2487;-2.4121390144032313e-05
115;41;2488;5.84392723745495e-05
116;42;2474;0.0003011397255919603
117;42;2488;-0.0014128997278183147
118;42;2489;0.0011117600022263546
119;43;2475;0.0011117600022263513
120;43;2489;-0.0016262227886991614
121;43;2490;0.0005144627864728099
122;44;2476;0.00035459219437242054
123;44;2490;-0.00017116584287246603
124;44;2491;-0.0001834263514999545
125;45;2477;-0.0005920898469113983
126;45;2491;-0.0005745275588246554
127;45;2492;0.001166617405736054
128;46;2478;0.0002198366565605532
129;46;2492;-0.002131793777034319
130;46;2493;0.0019119571204737665
131;47;2479;0.000860050363264563
132;47;2493;-0.0012002894004709429
133;47;2494;0.0003402390372063799
134;48;2480;-0.0007466231496170458
135;48;2494;0.00021723992122230486
136;48;2495;0.0005293832283947411
137;49;2481;-0.0014429787733440543
138;49;2495;-0.0015986623011293218
139;49;2496;0.0030416410744733757
140;50;2482;0.0006424580929074054
141;50;2496;-0.00251547843855426
142;50;2497;0.0018730203456468544
143;51;2483;-0.0003065079524121439
144;51;2497;0.00023165090866859023
145;51;2498;7.485704374355379e-05
146;52;2484;-0.002860884812531508
147;52;2498;-0.0006987008913523212
148;52;2499;0.003559585703883829
149;53;2499;-0.00341015222566841
150;53;2500;0.00341015222566841
151;54;2485;0.0018834226832476716
152;54;2501;-0.0018511511414174126
153;54;2502;-3.2271541830259116e-05
154;55;2486;0.0003732361305319198
155;55;2502;2.2597546020027424e-05
156;55;2503;-0.0003958336765519472
157;56;2487;0.000261027958487829
158;56;2503;-0.0010589833355355129
159;56;2504;0.000797955377047684
160;57;2488;0.001354460455443765
161;57;2504;-0.0017090526498161874
162;57;2505;0.0003545921943724227
163;58;2489;0.0005144627864728068
164;58;2505;-0.000171165842872466
165;58;2506;-0.00034329694360034075
166;59;2490;-0.0003432969436003438
167;59;2506;-0.0007241224049260935
168;59;2507;0.0010674193485264373
169;60;2491;0.0007579539103246099
170;60;2507;-0.0021991928105561005
171;60;2508;0.001441238900231491
172;61;2492;0.0009651763712982651
173;61;2508;-0.0009038206777517943
174;61;2509;-6.135569354647064e-05
175;62;2493;-0.0007116677200028239
176;62;2509;-5.044202322293233e-05
177;62;2510;0.0007621097432257562
178;63;2494;-0.0005574789584286846
179;63;2510;-0.0021060591119793975
180;63;2511;0.002663538070408082
181;64;2495;0.0010692790727345807
182;64;2511;-0.0020964811134533577
183;64;2512;0.0010272020407187774
184;65;2496;-0.0005261626359191157
185;65;2512;0.0002656645340335228
186;65;2513;0.0002604981018855928
187;66;2497;-0.0021046712543154444
188;66;2513;-0.0013994163134489002
189;66;2514;0.0035040875677643446
190;67;2498;0.0006238438476087675
191;67;2514;-0.0032141631214026847
192;67;2515;0.002590319273793918
193;68;2499;-0.00014943347821541942
194;68;2515;0.00012179154765125133
195;68;2516;2.7641930564168055e-05
196;69;2500;-0.0034101522256684094
197;69;2516;-0.0006308037004886012
198;69;2517;0.004040955926157011
199;70;2517;-0.004010231017780986
200;70;2518;0.004010231017780987
201;71;2501;0.0018511511414174124
202;71;2519;-0.0011044488850238915
203;71;2520;-0.0007467022563935209
204;72;2502;9.673995810231689e-06
205;72;2520;-0.00022383791074612902
206;72;2521;0.0002141639149358973
207;73;2503;0.0014548170120874605
208;73;2521;-0.001838642575892418
209;73;2522;0.00038382556380495787
210;74;2504;0.0009110972727685027
211;74;2522;-0.0003190074258571083
212;74;2523;-0.0005920898469113946
213;75;2505;-0.0001834263514999564
214;75;2523;-0.0005745275588246565
215;75;2524;0.0007579539103246126
216;76;2506;0.0010674193485264347
217;76;2524;-0.0021991928105560997
218;76;2525;0.0011317734620296658
219;77;2507;0.0011317734620296636
220;77;2525;-0.0008140683237959048
221;77;2526;-0.0003177051382337592
222;78;2508;-0.0005374182224796966
223;78;2526;-0.00023019954031240354
224;78;2527;0.0007676177627921003
225;79;2509;0.00011179771676940299
226;79;2527;-0.002352301389514083
227;79;2528;0.00224050367274468
228;80;2510;0.0013439493687536423
229;80;2528;-0.0017826686109404435
230;80;2529;0.0004387192421868015
231;81;2511;-0.0005670569569547243
232;81;2529;0.0001463666410130736
233;81;2530;0.0004206903159416506
234;82;2512;-0.0012928665747523004
235;82;2530;-0.0019576029927196835
236;82;2531;0.003250469567471984
237;83;2513;0.0011389182115633077
238;83;2531;-0.002920209109954864
239;83;2532;0.001781290898391556
240;84;2514;-0.0002899244463616598
241;84;2532;0.00018109194342695717
242;84;2533;0.00010883250293470266
243;85;2515;-0.002712110821445169
244;85;2533;-0.0012632689713223955
245;85;2534;0.0039753797927675645
246;86;2516;0.0006031617699244335
247;86;2534;-0.0038954154170462475
248;86;2535;0.0032922536471218125
249;87;2517;-3.0724908376023705e-05
250;87;2535;2.617943055006915e-05
251;87;2536;4.545477825954496e-06
252;88;2518;-0.004010231017780986
253;88;2536;-0.0005932781294313975
254;88;2537;0.004603509147212385
255;89;2537;-0.004665272815808254
256;89;2538;0.004665272815808254
257;90;2519;0.0011044488850238917
258;90;2539;-0.001104448885023892
259;91;2520;0.00097054016713965
260;91;2539;-0.0014355280117211507
261;91;2540;0.00046498784458150113
262;92;2521;0.0016244786609565212
