vertex_index;vertex_x;vertex_y;ldos
0;24.5;-14.722431864335457;3.1610794896660014e-05
1;23.0;-15.588457268119896;0.0017210062626565512
2;21.5;-16.454482671904334;0.024786400735420246
3;20.0;-17.32050807568877;0.1624963027239255
4;18.5;-18.18653347947321;0.5911352552202789
5;17.0;-19.05255888325765;1.2932311464190671
6;15.5;-19.918584287042087;1.7153980660994947
7;14.0;-20.784609690826525;1.2715717964763609
8;12.5;-21.650635094610966;0.37486660221504586
9;24.5;-12.990381056766578;3.161079489665996e-05
10;23.0;-13.856406460551018;0.0012861307191264423
11;21.5;-14.722431864335455;0.013444857339702567
12;20.0;-15.588457268119894;0.06035440122002048
13;18.5;-16.45448267190433;0.13376933653348025
14;17.0;-17.320508075688767;0.13568172589331662
15;15.5;-18.18653347947321;0.029766202854035338
16;14.0;-19.052558883257646;0.03315754586904786
17;12.5;-19.918584287042084;0.2656128502348679
18;11.0;-20.784609690826525;0.3748666022150461
19;9.5;-21.650635094610962;0.15415255554384008
20;24.5;-11.258330249197703;3.161079489665961e-05
21;23.0;-12.124355652982143;0.0009144767653896514
22;21.5;-12.99038105676658;0.0064142954376329815
23;20.0;-13.85640646055102;0.016827113989719502
24;18.5;-14.722431864335457;0.014417664310474185
25;17.0;-15.588457268119896;6.786536834875319e-06
26;15.5;-16.454482671904334;0.03834592598538009
27;14.0;-17.32050807568877;0.1257560409454763
28;12.5;-18.18653347947321;0.11107841156465889
29;11.0;-19.05255888325765;0.009387108423466996
30;9.5;-19.918584287042087;0.048242100404916714
31;8.0;-20.784609690826525;0.1541525555438401
32;6.5;-21.650635094610966;0.08470715536300068
33;24.5;-9.526279441628825;3.1610794896658096e-05
34;23.0;-10.392304845413264;0.0006060444014461799
35;21.5;-11.258330249197702;0.00248492078331116
36;20.0;-12.12435565298214;0.0024631438122644025
37;18.5;-12.990381056766578;9.304121746524577e-05
38;17.0;-13.856406460551018;0.01379884391027736
39;15.5;-14.722431864335457;0.03937297923080872
