energy;conductance
-0.1;0.05
-0.0998;0.045
-0.0996;0.041
-0.0994;0.037
-0.0992;0.034
-0.099;0.03
-0.0988;0.027
-0.0986;0.024
-0.0984;0.021
-0.0982;0.018
-0.098;0.016
-0.0978;0.014
-0.0976;0.011
-0.0974;0.01
-0.0972;0.008
-0.097;0.006
-0.0968;0.005
-0.0966;0.004
-0.0964;0.003
-0.0962;0.002
-0.096;0.001
-0.0958;0.001
-0.0956;0.0
-0.0954;0.0
-0.0952;0.0
-0.095;0.0
-0.0948;0.0
-0.0946;0.001
-0.0944;0.001
-0.0942;0.002
-0.094;0.003
-0.0938;0.003
-0.0936;0.004
-0.0934;0.005
-0.0932;0.007
-0.093;0.008
-0.0928;0.009
-0.0926;0.011
-0.0924;0.013
-0.0922;0.014
-0.092;0.016
-0.0918;0.018
-0.0916;0.02
-0.0914;0.022
-0.0912;0.024
-0.091;0.026
-0.0908;0.028
-0.0906;0.031
-0.0904;0.033
-0.0902;0.035
-0.09;0.038
-0.0898;0.04
-0.0896;0.043
-0.0894;0.046
-0.0892;0.048
-0.089;0.051
-0.0888;0.054
-0.0886;0.057
-0.0884;0.059
-0.0882;0.062
-0.088;0.065
-0.0878;0.068
-0.0876;0.071
-0.0874;0.074
-0.0872;0.077
-0.087;0.08
-0.0868;0.083
-0.0866;0.086
-0.0864;0.089
-0.0862;0.092
-0.086;0.095
-0.0858;0.099
-0.0856;0.102
-0.0854;0.105
-0.0852;0.108
-0.085;0.111
-0.0848;0.114
-0.0846;0.117
-0.0844;0.121
-0.0842;0.124
-0.084;0.127
-0.0838;0.13
-0.0836;0.133
-0.0834;0.136
-0.0832;0.139
-0.083;0.143
-0.0828;0.146
-0.0826;0.149
-0.0824;0.152
-0.0822;0.155
-0.082;0.158
-0.0818;0.161
-0.0816;0.165
-0.0814;0.168
-0.0812;0.171
-0.081;0.174
-0.0808;0.177
-0.0806;0.18
-0.0804;0.183
-0.0802;0.186
-0.08;0.189
-0.0798;0.192
-0.0796;0.195
-0.0794;0.198
-0.0792;0.201
-0.079;0.204
-0.0788;0.207
-0.0786;0.21
-0.0784;0.213
-0.0782;0.216
-0.078;0.218
-0.0778;0.221
-0.0776;0.224
-0.0774;0.227
-0.0772;0.23
-0.077;0.233
-0.0768;0.235
-0.0766;0.238
-0.0764;0.241
-0.0762;0.244
-0.076;0.246
-0.0758;0.249
-0.0756;0.252
-0.0754;0.254
-0.0752;0.257
-0.075;0.26
-0.0748;0.262
-0.0746;0.265
-0.0744;0.268
-0.0742;0.27
-0.074;0.273
-0.0738;0.275
-0.0736;0.278
-0.0734;0.28
-0.0732;0.283
-0.073;0.285
-0.0728;0.288
-0.0726;0.29
-0.0724;0.293
-0.0722;0.295
-0.072;0.297
-0.0718;0.3
-0.0716;0.302
-0.0714;0.305
-0.0712;0.307
-0.071;0.309
-0.0708;0.312
-0.0706;0.314
-0.0704;0.316
-0.0702;0.318
-0.07;0.321
-0.0698;0.323
-0.0696;0.325
-0.0694;0.327
-0.0692;0.329
-0.069;0.332
-0.0688;0.334
-0.0686;0.336
-0.0684;0.338
-0.0682;0.34
-0.068;0.342
-0.0678;0.344
-0.0676;0.346
-0.0674;0.348
-0.0672;0.35
-0.067;0.352
-0.0668;0.354
-0.0666;0.356
-0.0664;0.358
-0.0662;0.36
-0.066;0.362
-0.0658;0.364
-0.0656;0.366
-0.0654;0.368
-0.0652;0.37
-0.065;0.372
-0.0648;0.374
-0.0646;0.376
-0.0644;0.378
-0.0642;0.379
-0.064;0.381
-0.0638;0.383
-0.0636;0.385
-0.0634;0.387
-0.0632;0.388
-0.063;0.39
-0.0628;0.392
-0.0626;0.394
-0.0624;0.395
-0.0622;0.397
-0.062;0.399
-0.0618;0.401
-0.0616;0.402
-0.0614;0.404
-0.0612;0.406
-0.061;0.407
-0.0608;0.409
-0.0606;0.411
-0.0604;0.412
-0.0602;0.414
-0.06;0.416
-0.0598;0.417
-0.0596;0.419
-0.0594;0.42
-0.0592;0.422
-0.059;0.423
-0.0588;0.425
-0.0586;0.427
-0.0584;0.428
-0.0582;0.43
-0.058;0.431
-0.0578;0.433
-0.0576;0.434
-0.0574;0.436
-0.0572;0.437
-0.057;0.439
-0.0568;0.44
-0.0566;0.442
-0.0564;0.443
-0.0562;0.445
-0.056;0.446
-0.0558;0.447
-0.0556;0.449
-0.0554;0.45
-0.0552;0.452
-0.055;0.453
-0.0548;0.455
-0.0546;0.456
-0.0544;0.457
-0.0542;0.459
-0.054;0.46
-0.0538;0.461
-0.0536;0.463
-0.0534;0.464
-0.0532;0.466
-0.053;0.467
-0.0528;0.468
-0.0526;0.47
-0.0524;0.471
-0.0522;0.472
-0.052;0.474
-0.0518;0.475
-0.0516;0.476
-0.0514;0.477
-0.0512;0.479
-0.051;0.48
-0.0508;0.481
-0.0506;0.483
-0.0504;0.484
-0.0502;0.485
-0.05;0.487
-0.0498;0.488
-0.0496;0.489
-0.0494;0.49
-0.0492;0.492
-0.049;0.493
-0.0488;0.494
-0.0486;0.495
-0.0484;0.497
-0.0482;0.498
-0.048;0.499
-0.0478;0.5
-0.0476;0.502
-0.0474;0.503
-0.0472;0.504
-0.047;0.505
-0.0468;0.507
-0.0466;0.508
-0.0464;0.509
-0.0462;0.51
-0.046;0.511
-0.0458;0.513
-0.0456;0.514
-0.0454;0.515
-0.0452;0.516
-0.045;0.518
-0.0448;0.519
-0.0446;0.52
-0.0444;0.521
-0.0442;0.523
-0.044;0.524
-0.0438;0.525
-0.0436;0.526
-0.0434;0.527
-0.0432;0.529
-0.043;0.53
-0.0428;0.531
-0.0426;0.532
-0.0424;0.534
-0.0422;0.535
-0.042;0.536
-0.0418;0.537
-0.0416;0.539
-0.0414;0.54
-0.0412;0.541
-0.041;0.542
-0.0408;0.544
-0.0406;0.545
-0.0404;0.546
-0.0402;0.548
-0.04;0.549
-0.0398;0.55
-0.0396;0.552
-0.0394;0.553
-0.0392;0.554
-0.039;0.556
-0.0388;0.557
-0.0386;0.558
-0.0384;0.56
-0.0382;0.561
-0.038;0.562
-0.0378;0.564
-0.0376;0.565
-0.0374;0.566
-0.0372;0.568
-0.037;0.569
-0.0368;0.571
-0.0366;0.572
-0.0364;0.574
-0.0362;0.575
-0.036;0.577
-0.0358;0.578
-0.0356;0.58
-0.0354;0.581
-0.0352;0.583
-0.035;0.584
-0.0348;0.586
-0.0346;0.588
-0.0344;0.589
-0.0342;0.591
-0.034;0.593
-0.0338;0.594
-0.0336;0.596
-0.0334;0.598
-0.0332;0.6
-0.033;0.601
-0.0328;0.603
-0.0326;0.605
-0.0324;0.607
-0.0322;0.609
-0.032;0.611
-0.0318;0.613
-0.0316;0.615
-0.0314;0.617
-0.0312;0.619
-0.031;0.621
-0.0308;0.623
-0.0306;0.626
-0.0304;0.628
-0.0302;0.63
-0.03;0.633
-0.0298;0.635
-0.0296;0.638
-0.0294;0.64
-0.0292;0.643
-0.029;0.645
-0.0288;0.648
-0.0286;0.651
-0.0284;0.654
-0.0282;0.657
-0.028;0.66
-0.0278;0.663
-0.0276;0.666
-0.0274;0.669
-0.0272;0.672
